,m2,isitma,celly_buildingAge,celly_floortype,location,price,ad_duration,boğaza_bakan,metroya_yakın,teras,eşyalı,bahçeli,bedroom,salon
68,110.0,Kombi,15,Ara Kat,"Sarıyer,Tarabya Mahallesi",6000,0,1,0,0,0,0,2,1
69,140.0,Kombi,5,Çatı Katı,"Sarıyer,Zekeriyaköy Mahallesi",4750,2,0,0,1,0,0,2,1
70,130.0,Kombi,25,Ara Kat,"Sarıyer,Tarabya Mahallesi",8500,1,0,0,0,0,0,2,1
71,140.0,Kombi,40,1. Kat,"Sarıyer,Reşitpaşa Mahallesi",4000,3,0,0,0,0,0,4,1
72,110.0,Kombi,20,1. Kat,"Sarıyer,Merkez Mahallesi",2600,7,0,0,0,0,1,2,1
73,110.0,Kombi,25,Ara Kat,"Sarıyer,Tarabya Mahallesi",1300,0,0,0,0,0,0,2,1
74,65.0,Kombi,25,1. Kat,"Sarıyer,Cumhuriyet Mahallesi",1650,1,0,1,0,1,0,1,1
75,130.0,Kombi,12,Ara Kat,"Sarıyer,Ayazağa Mahallesi",2200,3,0,0,0,0,0,2,1
76,130.0,Kombi,20,Ara Kat,"Sarıyer,Kireçburnu Mahallesi",2600,0,0,0,0,0,0,3,1
77,85.0,Kombi,4,1. Kat,"Sarıyer,Zekeriyaköy Mahallesi",3000,5,0,0,0,0,1,1,1
78,85.0,Kombi,1,1. Kat,"Sarıyer,Ferahevler Mahallesi",10000,7,0,0,0,0,1,5,1
79,190.0,Kombi,21,Ara Kat,"Sarıyer,Tarabya Mahallesi",4000,4,0,0,0,0,0,3,1
80,110.0,Kombi,20,Ara Kat,"Sarıyer,Tarabya Mahallesi",2300,0,0,0,0,0,0,3,1
81,118.0,Kombi,23,Ara Kat,"Sarıyer,Poligon Mahallesi",3000,0,0,0,0,0,0,3,1
82,120.0,Kombi,20,Ara Kat,"Sarıyer,Tarabya Mahallesi",6000,0,1,0,0,0,0,2,1
83,133.51399253731344,Kombi,15,1. Kat,"Sarıyer,Kumköy Mahallesi",5500,4,0,0,0,0,1,3,1
84,115.0,Kombi,25,1. Kat,"Sarıyer,İstinye Mahallesi",5000,1,0,0,0,0,0,2,1
85,120.0,Kombi,30,1. Kat,"Sarıyer,Merkez Mahallesi",2500,6,0,0,0,0,1,2,1
86,110.0,Kombi,30,Çatı Katı,"Sarıyer,Tarabya Mahallesi",3000,4,0,0,1,1,0,2,1
87,100.0,Kombi,25,Ara Kat,"Sarıyer,Emirgan Mahallesi",4000,5,0,0,0,0,0,2,1
88,120.0,Kombi,7,Ara Kat,"Sarıyer,Ayazağa Mahallesi",2200,2,0,0,0,0,0,2,1
89,80.0,Kombi,25,1. Kat,"Sarıyer,Cumhuriyet Mahallesi",1450,1,0,0,0,0,0,2,1
90,220.0,Kombi,16,Ara Kat,"Sarıyer,Tarabya Mahallesi",20000,0,0,0,0,1,0,4,1
91,160.0,Kombi,15,Ara Kat,"Sarıyer,İstinye Mahallesi",7500,3,0,0,0,0,0,3,1
92,130.0,Kombi,20,Ara Kat,"Sarıyer,Reşitpaşa Mahallesi",2500,2,0,0,0,0,0,2,1
93,133.51399253731344,Kombi,30,1. Kat,"Sarıyer,Kireçburnu Mahallesi",12000,6,1,0,0,0,1,4,1
94,80.0,Kombi,25,Ara Kat,"Sarıyer,Cumhuriyet Mahallesi",1900,1,0,1,0,0,0,2,1
95,80.0,Kombi,25,Ara Kat,"Sarıyer,Merkez Mahallesi",1700,5,0,0,0,0,0,2,1
96,145.0,Kombi,25,Ara Kat,"Sarıyer,Tarabya Mahallesi",6000,5,0,0,0,1,0,3,1
97,118.0,Kombi,24,Ara Kat,"Sarıyer,Poligon Mahallesi",2900,0,1,0,0,0,0,3,1
98,100.0,Kombi,20,1. Kat,"Sarıyer,Tarabya Mahallesi",2950,0,0,0,0,0,1,2,1
99,133.51399253731344,Kombi,3,1. Kat,"Sarıyer,Tarabya Mahallesi",10000,4,0,0,0,0,1,5,2
100,80.0,Kombi,20,1. Kat,"Sarıyer,Tarabya Mahallesi",2500,1,0,0,0,0,0,2,1
101,133.51399253731344,Kombi,28,Ara Kat,"Sarıyer,Tarabya Mahallesi",5500,0,0,0,1,0,0,4,1
102,80.0,Kombi,25,Ara Kat,"Sarıyer,Büyükdere Mahallesi",1600,4,0,0,0,0,0,1,1
103,133.51399253731344,Kombi,12,1. Kat,"Sarıyer,İstinye Mahallesi",24000,0,0,0,0,1,1,3,1
104,133.51399253731344,Kombi,2,Ara Kat,"Sarıyer,Maden Mahallesi",7500,1,0,0,1,0,0,4,1
105,61.0,Kombi,21,1. Kat,"Sarıyer,Yeniköy Mahallesi",1350,2,0,0,0,0,1,1,1
106,120.0,Kombi,2,1. Kat,"Sarıyer,Tarabya Mahallesi",8250,28,0,0,0,0,1,2,1
107,360.0,Kombi,30,Ara Kat,"Sarıyer,Reşitpaşa Mahallesi",16000,0,0,0,1,0,0,4,1
108,110.0,Kombi,35,1. Kat,"Sarıyer,Emirgan Mahallesi",2500,1,0,0,0,0,1,2,1
109,300.0,Kombi,25,Ara Kat,"Sarıyer,Tarabya Mahallesi",12000,12,0,0,0,0,0,3,1
110,300.0,Kombi,24,Çatı Katı,"Sarıyer,Tarabya Mahallesi",10000,8,0,0,0,0,0,6,1
111,50.0,Kombi,25,Bodrum,"Sarıyer,Emirgan Mahallesi",1500,7,0,0,0,0,0,1,1
112,125.0,Kombi,25,1. Kat,"Sarıyer,Fatih Sultan Mehmet Mahallesi",2500,1,0,0,0,0,0,3,1
113,133.51399253731344,Kombi,30,1. Kat,"Sarıyer,Rumeli Hisarı Mahallesi",13000,6,0,0,1,0,1,4,1
114,85.0,Kombi,22,1. Kat,"Sarıyer,Reşitpaşa Mahallesi",2200,2,0,0,0,0,0,2,1
115,145.0,Kombi,20,1. Kat,"Sarıyer,Tarabya Mahallesi",6000,22,0,0,0,1,0,3,1
117,160.0,Kombi,20,Ara Kat,"Sarıyer,Tarabya Mahallesi",4500,1,0,1,0,1,0,3,1
118,90.0,Kombi,20,Ara Kat,"Sarıyer,İstinye Mahallesi",2100,0,0,0,0,0,0,2,1
119,95.0,Kombi,25,Ara Kat,"Sarıyer,İstinye Mahallesi",5500,0,0,0,0,0,0,2,1
120,90.0,Kombi,12,Ara Kat,"Sarıyer,Kumköy Mahallesi",2750,21,0,0,0,1,0,2,1
121,85.0,Kombi,35,Ara Kat,"Sarıyer,Maden Mahallesi",1650,6,0,0,0,0,0,1,1
122,40.0,Kombi,26,Çatı Katı,"Sarıyer,Tarabya Mahallesi",6000,0,0,0,1,0,0,4,1
123,180.0,Kombi,26,1. Kat,"Sarıyer,Emirgan Mahallesi",10000,3,0,0,0,0,1,3,1
124,140.0,Kombi,10,Bodrum,"Sarıyer,Ayazağa Mahallesi",1750,0,0,0,0,0,0,3,1
125,110.0,Kombi,20,Ara Kat,"Sarıyer,Tarabya Mahallesi",2800,1,0,0,0,0,0,2,1
126,10.0,Kombi,4,Çatı Katı,"Sarıyer,İstinye Mahallesi",16000,0,0,0,1,0,1,4,1
127,80.0,Kombi,20,1. Kat,"Sarıyer,Tarabya Mahallesi",1300,0,0,0,0,0,0,1,1
128,180.0,Kombi,26,Ara Kat,"Sarıyer,Emirgan Mahallesi",10000,3,0,0,0,0,1,3,1
129,80.0,Kombi,30,1. Kat,"Sarıyer,Tarabya Mahallesi",7000,3,0,0,1,0,0,3,1
130,175.0,Kombi,25,Ara Kat,"Sarıyer,Yeniköy Mahallesi",25000,0,0,0,1,0,0,2,1
131,50.0,Kombi,30,Çatı Katı,"Sarıyer,Yeniköy Mahallesi",12000,10,0,0,1,0,0,5,2
132,65.0,Kombi,24,1. Kat,"Sarıyer,Emirgan Mahallesi",2200,2,0,0,0,0,1,1,1
133,166.0,Kombi,15,Ara Kat,"Sarıyer,Tarabya Mahallesi",4500,1,0,0,0,1,0,3,1
