,m2,celly_houseRoomCount,description,isitma,celly_buildingAge,celly_floortype,location,days,price
90,0,4 + 1, sariyer tarabyada 4+1 220 m2 bakimli temiz muhtesem eşyalı daire,Kombi,16 Yaşında, 2. Kat,"Sarıyer,Tarabya Mahallesi",13 Temmuz 2020,"20,000 TL"
91,160,3 + 1, sarıyer istinye seba home 3+1havuza cepheli kiralık daire,Kombi,15 Yaşında,boş,"Sarıyer,İstinye Mahallesi",10 Temmuz 2020,"7,500 TL"
92,130,2 + 1, reşitpaşa merkezde temiz masrafsız daire,Kombi,20 Yaşında, 2. Kat,"Sarıyer,Reşitpaşa Mahallesi",11 Temmuz 2020,"2,500 TL"
93,0,4 + 1, tarabya'da bahçeli ve boğaz manzaralı 4+1 kiralık daire,Kombi,30 Yaşında, 1. Kat,"Sarıyer,Kireçburnu Mahallesi",7 Temmuz 2020,"12,000 TL"
94,80,2 + 1, tarabya üstü deniz doğa şehir manzaralı metro 10dk kiralık 2+1 ,Kombi,25 Yaşında, 3. Kat,"Sarıyer,Cumhuriyet Mahallesi",12 Temmuz 2020,"1,900 TL"
95,80,2 + 1, sarıyer zümrüt evlerde kiralık daire ,Kombi,25 Yaşında, 2. Kat,"Sarıyer,Merkez Mahallesi",8 Temmuz 2020,"1,700 TL"
96,145,3 + 1, tarabya sanatçılar sitesi'nde tadilatlı 3+1 full eşyalı daire,Kombi,25 Yaşında, Ara Kat,"Sarıyer,Tarabya Mahallesi",8 Temmuz 2020,"6,000 TL"
97,118,3 + 1, istinye boğaziçi sitesinde güvenlikli otoparklı 3+1 kombili,Kombi,24 Yaşında, 2. Kat,"Sarıyer,Poligon Mahallesi",13 Temmuz 2020,"2,900 TL"
98,100,2 + 1, haliç emlaktan kiralık birlik apartmanında 2+1 bahçe katı,Kombi,20 Yaşında, Giriş Katı,"Sarıyer,Tarabya Mahallesi",13 Temmuz 2020,"2,950 TL"
99,0,5 + 2, geniş bahçe kullanımlı havuz manzaralı yeni binada sıfır daire,Kombi,3 Yaşında, Bahçe Katı,"Sarıyer,Tarabya Mahallesi",9 Temmuz 2020,"10,000 TL"
100,80,2 + 1," sarıyer tarabya nezih,sessiz sk ulaşım,çarşı 2.dk kiralık daire",Kombi,20 Yaşında, Yüksek Giriş,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"2,500 TL"
101,0,4 + 1, tarabya sanatcılar sitesin de ferah teraslı 4+1 dublex,Kombi,28 Yaşında, 5. Kat,"Sarıyer,Tarabya Mahallesi",13 Temmuz 2020,"5,500 TL"
102,80,1 + 1, sarıyer büyükdere ulaşıma 150 metre balkonlu daire,Kombi,25 Yaşında, 2. Kat,"Sarıyer,Büyükdere Mahallesi",9 Temmuz 2020,"1,600 TL"
103,00,3 + 1, panorama'dan istinye park'ta full mobilyalı bahçe katı,Kombi,12 Yaşında, 1. Kat,"Sarıyer,İstinye Mahallesi",13 Temmuz 2020,"24,000 TL"
104,00,4 + 1," 4*4 madende deniz manzaralı, teraslı havuzlu 4+1 çatı dubleksi",Kombi,2 Yaşında, 3. Kat,"Sarıyer,Maden Mahallesi",12 Temmuz 2020,"7,500 TL"
105,61,1 + 1, sarıyer yeniköy bağlarda giriş kat kiralık müstakil giriş,Kombi,21 Yaşında, Bahçe Katı,"Sarıyer,Yeniköy Mahallesi",11 Temmuz 2020,"1,350 TL"
106,120,2 + 1," tarabya'da, manzaralı, bahçeli çok keyifli daire",Kombi,2 Yaşında, Bahçe Katı,"Sarıyer,Tarabya Mahallesi",15 Haziran 2020,"8,250 TL"
107,360,4 + 1, emirgan'da müstakil girişli kiralık dubleks daire,Kombi,30 Yaşında, 2. Kat,"Sarıyer,Reşitpaşa Mahallesi",13 Temmuz 2020,"16,000 TL"
108,110,2 + 1, emirgan sabancı lisesi yakını içi yenilenmiş bahçe katı,Kombi,35 Yaşında,boş,"Sarıyer,Emirgan Mahallesi",12 Temmuz 2020,"2,500 TL"
109,300,3 + 1, tarabya'da muhteşem manzaralı full yenilenmiş daire,Kombi,25 Yaşında, 3. Kat,"Sarıyer,Tarabya Mahallesi",1 Temmuz 2020,"12,000 TL"
110,300,6 + 1, tarabya sanatçılar sitesinde kiralık 4 katlı 300 m2 daire.,Kombi,24 Yaşında, En Üst Kat,"Sarıyer,Tarabya Mahallesi",5 Temmuz 2020,"10,000 TL"
111,50,1 + 1, temiz masrafsız 1+1 yarızemin stüdyo daire,Kombi,25 Yaşında, Yarı Bodrum,"Sarıyer,Emirgan Mahallesi",6 Temmuz 2020,"1,500 TL"
112,125,3 + 1, fsm mahallesinde 3+1 120m kiralık daire...,Kombi,25 Yaşında, 1. Kat,"Sarıyer,Fatih Sultan Mehmet Mahallesi",12 Temmuz 2020,"2,500 TL"
113,0,4 + 1, rumelihisarı'nda manzaralı bahçe kullanimlı yenilenmis dubleks,Kombi,30 Yaşında, Bahçe Katı,"Sarıyer,Rumeli Hisarı Mahallesi",7 Temmuz 2020,"13,000 TL"
114,85,2 + 1, merkezde masrafsız temiz 2+1 daire 1.kat,Kombi,22 Yaşında, 1. Kat,"Sarıyer,Reşitpaşa Mahallesi",11 Temmuz 2020,"2,200 TL"
115,145,3 + 1, tarabya sanatçılar sitesi 3+1 full eşyalı ebeveyn banyolu ,Kombi,20 Yaşında, 1. Kat,"Sarıyer,Tarabya Mahallesi",21 Haziran 2020,"6,000 TL"
116,150,3 + 1, rumelihisar da 150 m2 boğaza hakim 2 katlı 50 m2 bahçeli ev,Kombi,25 Yaşında, Villa Katı,"Sarıyer,Rumeli Hisarı Mahallesi",11 Temmuz 2020,"5,500 TL"
117,160,3 + 1, tarabya'da cadde alışveriş metro'ya yakın çok temiz eşyalı 3+1,Kombi,20 Yaşında, 3. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"4,500 TL"
118,90,2 + 1, istinye merkeze yakın üst mevkide önü açık 2+1 kombili,Kombi,20 Yaşında, 2. Kat,"Sarıyer,İstinye Mahallesi",13 Temmuz 2020,"2,100 TL"
119,95,2 + 1, istinye'de nezih sokakta bogaz manzarali 2+1 kombili daire,Kombi,25 Yaşında, 2. Kat,"Sarıyer,İstinye Mahallesi",13 Temmuz 2020,"5,500 TL"
120,90,2 + 1, sarıyer turyap tan kilyos ta deniz manzaralı full eşyalı 2+1,Kombi,12 Yaşında, 4. Kat,"Sarıyer,Kumköy Mahallesi",22 Haziran 2020,"2,750 TL"
121,85,1 + 1, sarıyer 'de geniş 1+1 üst kat kiralık daire ,Kombi,35 Yaşında, 5. Kat,"Sarıyer,Maden Mahallesi",7 Temmuz 2020,"1,650 TL"
122,40,4 + 1, tarabya beldemiz sitesinde 4+1 çatı dubleksi,Kombi,26 Yaşında, Çatı Katı,"Sarıyer,Tarabya Mahallesi",13 Temmuz 2020,"6,000 TL"
123,180,3 + 1," merkezde bahçeli, havuzlu, balkonlu,şömineli, manzaralı daire",Kombi,26 Yaşında, 1. Kat,"Sarıyer,Emirgan Mahallesi",10 Temmuz 2020,"10,000 TL"
124,140,3 + 1, ayazağa kiralık 3+1 daire,Kombi,10 Yaşında, Kot 2,"Sarıyer,Ayazağa Mahallesi",13 Temmuz 2020,"1,750 TL"
125,110,2 + 1, tarabya da anacadde ye paralel 2+1 sıfır kiralık ,Kombi,20 Yaşında,boş,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"2,800 TL"
126,10,4 + 1, sarıyer istinye seba da bahçeli çatı dubleksi keyfi,Kombi,4 Yaşında, Çatı Katı,"Sarıyer,İstinye Mahallesi",13 Temmuz 2020,"16,000 TL"
